realization_key,evaluation,n,s,Delta_NL_baseline,Delta_NL_smeared,Delta_NL_rel_diff,Delta_NL_raw_baseline,Delta_NL_raw_smeared,Delta_NL_raw_rel_diff,flag
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_1,5209,1.0623763218826567,0.0888071627315178,0.08880716273151767,1.4064191043680633e-15,0.0888071627315178,0.08880716273151767,1.4064191043680633e-15,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_2,11197,1.0623763218826567,0.09692082490766349,0.09692082490766349,0.0,0.09692082490766349,0.09692082490766349,0.0,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_3,16798,1.0623763218826567,0.08596370585479052,0.08596370585479052,0.0,0.08596370585479052,0.08596370585479052,0.0,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,22323,1.0623763218826567,0.10645085811120307,0.10645085811120289,1.6947842854692887e-15,0.10645085811120307,0.10645085811120289,1.6947842854692887e-15,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,28053,1.0623763218826567,0.09949391033381376,0.09949391033381358,1.8132892847038278e-15,0.09949391033381376,0.09949391033381358,1.8132892847038278e-15,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,33113,1.0623763218826567,0.10955701926953607,0.10955701926953598,7.600309628909398e-16,0.10955701926953607,0.10955701926953598,7.600309628909398e-16,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,34460,1.0623763218826567,0.1142876831044901,0.1142876831044901,0.0,0.1142876831044901,0.1142876831044901,0.0,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,151153,1.0623763218826567,0.08425080052077516,0.08425080052077531,1.811919470703618e-15,0.08425080052077516,0.08425080052077531,1.811919470703618e-15,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,heldout,38290,1.0623763218826567,0.1164488813130174,0.1164488813130174,0.0,0.1164488813130174,0.1164488813130174,0.0,OK
fit:LGBCovPenalty:1fb838f7d6bfda88,forward_2025,26641,1.0623763218826567,0.12118349377313004,0.12118349377313022,1.488744348626714e-15,0.12118349377313004,0.12118349377313022,1.488744348626714e-15,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_1,5209,1.0623227151201418,0.09098700615567608,0.09098700615567595,1.3727244751479102e-15,0.09098700615567608,0.09098700615567595,1.3727244751479102e-15,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_2,11197,1.0623227151201418,0.09586328553635762,0.09586328553635762,0.0,0.09586328553635762,0.09586328553635762,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_3,16798,1.0623227151201418,0.08245673150192064,0.08245673150192064,0.0,0.08245673150192064,0.08245673150192064,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_4,22323,1.0623227151201418,0.10337302993464645,0.10337302993464645,0.0,0.10337302993464645,0.10337302993464645,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_5,28053,1.0623227151201418,0.10051434389764517,0.10051434389764517,0.0,0.10051434389764517,0.10051434389764517,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_6,33113,1.0623227151201418,0.11062042076552601,0.11062042076552601,0.0,0.11062042076552601,0.11062042076552601,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,fold_7,34460,1.0623227151201418,0.11316551709267986,0.11316551709268002,1.4715918591825685e-15,0.11316551709267986,0.11316551709268002,1.4715918591825685e-15,OK
fit:LGBMRegressor:252a25d9c0ce796b,pooled_oof,151153,1.0623227151201418,0.08341369452786197,0.08341369452786197,0.0,0.08341369452786197,0.08341369452786197,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,heldout,38290,1.0623227151201418,0.11866176237743785,0.11866176237743785,0.0,0.11866176237743785,0.11866176237743785,0.0,OK
fit:LGBMRegressor:252a25d9c0ce796b,forward_2025,26641,1.0623227151201418,0.1211748614653884,0.1211748614653884,0.0,0.1211748614653884,0.1211748614653884,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_1,5209,1.1426916234337632,0.14632493159183138,0.14632493159183138,0.0,0.14632493159183138,0.14632493159183138,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_2,11197,1.1426916234337632,0.17021368836685272,0.17021368836685272,0.0,0.17021368836685272,0.17021368836685272,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_3,16798,1.1426916234337632,0.13233164106819034,0.13233164106819034,0.0,0.13233164106819034,0.13233164106819034,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_4,22323,1.1426916234337632,0.13232480830591112,0.13232480830591112,0.0,0.13232480830591112,0.13232480830591112,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_5,28053,1.1426916234337632,0.11397633282145406,0.11397633282145406,0.0,0.11397633282145406,0.11397633282145406,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_6,33113,1.1426916234337632,0.11479608561272057,0.11479608561272044,1.2089077544536637e-15,0.11479608561272057,0.11479608561272044,1.2089077544536637e-15,OK
fit:LGBSmoothPenalty:d5704816049673ad,fold_7,34460,1.1426916234337632,0.11580361940686855,0.11580361940686855,0.0,0.11580361940686855,0.11580361940686855,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,pooled_oof,151153,1.1426916234337632,0.11182256740989985,0.11182256740989985,0.0,0.11182256740989985,0.11182256740989985,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,heldout,38290,1.1426916234337632,0.1241520335253582,0.1241520335253582,0.0,0.1241520335253582,0.1241520335253582,0.0,OK
fit:LGBSmoothPenalty:d5704816049673ad,forward_2025,26641,1.1426916234337632,0.11110336991629727,0.11110336991629713,1.2490879276001857e-15,0.11110336991629727,0.11110336991629713,1.2490879276001857e-15,OK
