realization_key,family,rho,b,reference_cell,evaluation,n,s,log_s,metric,invariance_class,baseline,smeared,expected,abs_diff_from_expected,rel_diff_from_expected,flag,delta_smeared_minus_baseline
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,median_ratio,scales_by_s,0.9586238685128134,1.0184192994995669,1.0184192994995662,6.661338147750939e-16,6.540860086826916e-16,OK,0.05979543098675344
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,mean_ratio,scales_by_s,1.0332171675772661,1.0976654541967532,1.0976654541967525,6.661338147750939e-16,6.068641517579288e-16,OK,0.0644482866194871
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,weighted_mean_ratio,scales_by_s,0.9570419831098755,1.0167387419035538,1.0167387419035532,6.661338147750939e-16,6.551671410965893e-16,OK,0.059696758793678306
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,COD,invariant,25.73577942071023,25.73577942071024,25.73577942071023,1.0658141036401503e-14,4.141370992566337e-16,OK,1.0658141036401503e-14
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,COV,invariant,0.3779013710480027,0.3779013710480027,0.3779013710480027,0.0,0.0,OK,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,PRD,invariant,1.0795944021388297,1.0795944021388297,1.0795944021388297,0.0,0.0,OK,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,PRB,invariant,-0.08356747768542126,-0.08356747768542125,-0.08356747768542126,1.3877787807814457e-17,1.6606685031293583e-16,OK,1.3877787807814457e-17
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,VEI,invariant,-29.66023178425817,-29.660231784258194,-29.66023178425817,2.4868995751603507e-14,8.384626233704095e-16,OK,-2.4868995751603507e-14
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,MKI,invariant,0.9587810101070708,0.9587810101070708,0.9587810101070708,0.0,0.0,OK,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,beta_log,invariant,-0.12486408566024669,-0.1248640856602466,-0.12486408566024669,9.71445146547012e-17,7.780020503175746e-16,OK,9.71445146547012e-17
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,dCor_e_y,invariant,0.40256238682666223,0.40256238682670437,0.40256238682666223,4.213296378452469e-14,1.0466194846630457e-13,OK,4.213296378452469e-14
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,Cov_log_residual_log_price,invariant,-0.1013557459922192,-0.10135574599221912,-0.1013557459922192,8.326672684688674e-17,8.215294163320439e-16,OK,8.326672684688674e-17
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,R2_price,moves,0.910370754582596,0.9085999338584682,,,,NA_MOVES_BY_DESIGN,-0.0017708207241278195
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,MAE_price,moves,53223.82915325617,53231.839794791944,,,,NA_MOVES_BY_DESIGN,8.010641535773175
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_1,5209,1.0623763218826567,0.06050821210711741,MAPE,moves,0.24965863912726427,0.26260076068106114,,,,NA_MOVES_BY_DESIGN,0.01294212155379687
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,median_ratio,scales_by_s,0.9766275799274027,1.037546016212435,1.0375460162124344,6.661338147750939e-16,6.420282130780261e-16,OK,0.06091843628503235
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,mean_ratio,scales_by_s,1.0361251138686476,1.1007547874820236,1.1007547874820227,8.881784197001252e-16,8.068812689262373e-16,OK,0.06462967361337602
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,weighted_mean_ratio,scales_by_s,0.9692329405187127,1.0296901263957825,1.0296901263957818,6.661338147750939e-16,6.469264856474424e-16,OK,0.06045718587706983
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,COD,invariant,21.894338807994163,21.894338807994167,21.894338807994163,3.552713678800501e-15,1.6226631504867905e-16,OK,3.552713678800501e-15
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,COV,invariant,0.3625660597779355,0.3625660597779354,0.3625660597779355,1.1102230246251565e-16,3.0621261827572777e-16,OK,-1.1102230246251565e-16
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,PRD,invariant,1.0690155797987382,1.0690155797987384,1.0690155797987382,2.220446049250313e-16,2.0770941894676154e-16,OK,2.220446049250313e-16
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,PRB,invariant,-0.08101261751381583,-0.08101261751381583,-0.08101261751381583,0.0,0.0,OK,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,VEI,invariant,-28.40536451509306,-28.405364515093083,-28.40536451509306,2.4868995751603507e-14,8.755034894338174e-16,OK,-2.4868995751603507e-14
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,MKI,invariant,0.9475340743462586,0.9475340743462578,0.9475340743462586,7.771561172376096e-16,8.201880420752155e-16,OK,-7.771561172376096e-16
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,beta_log,invariant,-0.1204267911217185,-0.12042679112171868,-0.1204267911217185,1.8041124150158794e-16,1.498098884983505e-15,OK,-1.8041124150158794e-16
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,dCor_e_y,invariant,0.3830424490248515,0.3830424490250191,0.3830424490248515,1.6758816556716738e-13,4.3751852045070433e-13,OK,1.6758816556716738e-13
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,Cov_log_residual_log_price,invariant,-0.07881447664646891,-0.07881447664646904,-0.07881447664646891,1.249000902703301e-16,1.5847353885325324e-15,OK,-1.249000902703301e-16
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,R2_price,moves,0.8967970247700147,0.8965617177169153,,,,NA_MOVES_BY_DESIGN,-0.00023530705309937616
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,MAE_price,moves,52833.40656675351,54303.476017773166,,,,NA_MOVES_BY_DESIGN,1470.0694510196554
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_2,11197,1.0623763218826567,0.06050821210711741,MAPE,moves,0.2149848054908852,0.2301646594096594,,,,NA_MOVES_BY_DESIGN,0.015179853918774217
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_3,16798,1.0623763218826567,0.06050821210711741,median_ratio,scales_by_s,0.9743796964628841,1.0351579180453792,1.0351579180453783,8.881784197001252e-16,8.580124870002589e-16,OK,0.06077822158249502
fit:LGBCovPenalty:1fb838f7d6bfda88,Direct,0.0,,C,fold_3,16798,1.0623763218826567,0.06050821210711741,mean_ratio,scales_by_s,1.0315210054486317,1.0958634917132175,1.0958634917132173,2.220446049250313e-16,2.0262067913029757e-16,OK,0.06434248626458583
