realization_key,family,rho,b,config_id,reference_cell,s_source,s,s_naive_pooled,s_minus_s_naive,n_appearances,n_unique,unique_rows_multiplicity_1,duplicated_unique_rows,duplicated_appearances,max_multiplicity,sum_weights,max_abs_rowweight_minus_one,mean_u,estimation_evaluations,oos_used_in_estimation
fit:LGBCovPenalty:3edb8b904025b2c0,Direct,86.85113737513521,,3edb8b904025b2c0,,dev_oof_row_balanced_D3,1.0636405448697208,1.060045026797331,0.0035955180723898916,151153,130165,109177,20988,41976,2,130165.0,0.0,0.008606191119686659,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:668324412c04438f,Surrogate,2.559547922699536,,668324412c04438f,,dev_oof_row_balanced_D3,1.0879072531266702,1.0854859489939026,0.0024213041327676432,151153,130165,109177,20988,41976,2,130165.0,0.0,0.038516684132409246,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:C:b=1.0691861972161865,C-posthoc,,1.0691861972161865,,,dev_oof_row_balanced_D3,1.052383210862212,1.0498872520053089,0.0024959588569031244,151153,130165,109177,20988,41976,2,130165.0,0.0,0.008373311505653633,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=1.0691027398736879,A-posthoc,,1.0691027398736879,,,dev_oof_row_balanced_D3,1.0523283774569256,1.050030140425773,0.002298237031152617,151153,130165,109177,20988,41976,2,130165.0,0.0,0.008377454492133493,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:5625c32dd0094442,Surrogate,5.963623316594643,,5625c32dd0094442,,dev_oof_row_balanced_D3,1.1008372779673066,1.0984230633258678,0.002414214641438761,151153,130165,109177,20988,41976,2,130165.0,0.0,0.047090149996893725,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:C:b=1.090830469094053,C-posthoc,,1.090830469094053,,,dev_oof_row_balanced_D3,1.0497715045425382,1.0471344778425484,0.002637026699989775,151153,130165,109177,20988,41976,2,130165.0,0.0,0.004461373636699945,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=1.0907453222671446,A-posthoc,,1.0907453222671446,,,dev_oof_row_balanced_D3,1.0497122574250095,1.0472756826591736,0.0024365747658359194,151153,130165,109177,20988,41976,2,130165.0,0.0,0.004465600492505827,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
fit:LGBSmoothPenalty:6443da161c33cd6d,Surrogate,28.11768697974231,,6443da161c33cd6d,,dev_oof_row_balanced_D3,1.1294107489599285,1.1259762584832547,0.0034344904766738793,151153,130165,109177,20988,41976,2,130165.0,0.0,0.0654947773005512,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:C:b=1.125644207469395,C-posthoc,,1.125644207469395,,,dev_oof_row_balanced_D3,1.0460777906127805,1.043207318854026,0.0028704717587544337,151153,130165,109177,20988,41976,2,130165.0,0.0,-0.0018307845046702605,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
posthoc:A:b=1.125556343190564,A-posthoc,,1.125556343190564,,,dev_oof_row_balanced_D3,1.0460114171077306,1.0433457417857535,0.0026656753219771456,151153,130165,109177,20988,41976,2,130165.0,0.0,-0.0018264227492109653,fold_1|fold_2|fold_3|fold_4|fold_5|fold_6|fold_7,False
