realization_key,evaluation,metric,fast,canonical,rel_diff
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,PRB,-0.07170692151163814,-0.07170692151163814,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,MKI,0.9464271627518804,0.9464271627518804,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,VEI,-15.326001127773674,-15.326001127773674,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,beta_log,-0.12243753909403994,-0.12243753909403994,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,Cov_log_residual_log_price,-0.05922133051776766,-0.05922133051776766,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_4,dCor_e_y,0.3376726479595436,0.3376726479595436,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,R2_price,0.8856759515532665,0.8856759515532665,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,MAE_price,62773.781574377535,62773.781574377535,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,MAPE,0.20258301939907578,0.20258301939907578,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,median_ratio,0.9674282648872008,0.9674282648872008,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,mean_ratio,1.018347677777526,1.018347677777526,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,weighted_mean_ratio,0.9589800873792123,0.9589800873792123,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,COD,20.694134720086883,20.694134720086883,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,COV,0.3159089843567389,0.3159089843567389,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,PRD,1.0619070105621888,1.0619070105621888,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,PRB,-0.0796039052150491,-0.0796039052150491,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,MKI,0.9253605195148848,0.9253605195148848,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,VEI,-21.47164884502159,-21.47164884502159,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,beta_log,-0.13959439598988854,-0.13959439598988854,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,Cov_log_residual_log_price,-0.06525409591078533,-0.06525409591078533,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_5,dCor_e_y,0.3586025265386555,0.3586025265386555,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,R2_price,0.8949443369272297,0.8949443369272297,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,MAE_price,65419.11077415738,65419.11077415738,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,MAPE,0.2138578693859876,0.2138578693859876,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,median_ratio,0.9789919066088278,0.9789919066088278,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,mean_ratio,1.046500314600558,1.046500314600558,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,weighted_mean_ratio,0.9717755443751306,0.9717755443751306,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,COD,21.748613785395317,21.748613785395317,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,COV,0.3319264643025344,0.3319264643025344,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,PRD,1.0768950923471499,1.0768950923471499,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,PRB,-0.10569130885259873,-0.10569130885259873,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,MKI,0.9060909504638508,0.9060909504638508,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,VEI,-32.33745484389421,-32.33745484389421,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,beta_log,-0.16668153664834728,-0.16668153664834728,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,Cov_log_residual_log_price,-0.08120396162324049,-0.08120396162324049,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_6,dCor_e_y,0.4229803156653667,0.4229803156653667,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,R2_price,0.8925608067342397,0.8925608067342397,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,MAE_price,69350.8576549125,69350.8576549125,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,MAPE,0.21839472167227086,0.21839472167227086,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,median_ratio,0.9509775510716072,0.9509775510716072,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,mean_ratio,1.020743399468765,1.020743399468765,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,weighted_mean_ratio,0.9470768748088287,0.9470768748088287,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,COD,22.42719912978735,22.42719912978735,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,COV,0.34150446875750984,0.34150446875750984,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,PRD,1.0777830465713842,1.0777830465713842,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,PRB,-0.10640997316475023,-0.10640997316475023,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,MKI,0.9103151343842967,0.9103151343842967,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,VEI,-35.53979317533932,-35.53979317533932,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,beta_log,-0.16796692561223703,-0.16796692561223703,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,Cov_log_residual_log_price,-0.08385623048452556,-0.08385623048452556,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,fold_7,dCor_e_y,0.43116299005793346,0.43116299005793346,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,R2_price,0.8961515945070143,0.8961515945070143,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,MAE_price,61723.29306177932,61723.29306177932,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,MAPE,0.21132322725504366,0.21132322725504366,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,median_ratio,0.9640861280699308,0.9640861280699308,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,mean_ratio,1.0247099547913596,1.0247099547913596,0.0
fit:LGBCovPenalty:1fb838f7d6bfda88,pooled_oof,weighted_mean_ratio,0.9586013209959315,0.9586013209959315,0.0
